abstract,authors,en_abstract,en_keywords,en_title,keywords,pdf_url,title,url
"从分析古长城的遥感信息机理及其光谱特征入手,发现陕北榆林地区古长城与沙地、道路的光谱特性极其相似,因此用单一的阈值法很难将古长城信息提取出来。在综合考虑古长城的空间几何特性(包括形状、大小等)及其在遥感影像上的光谱表现特征的基础上,提出了灰度坡度法对古长城信息进行提取,即利用古长城在IKONOS图像上仅有1—2个像元宽,且与背景地物的灰度差较大的特征,把它与沙地和道路分离出来。运用这一方法并结合光谱阈值分析,从图像上进行了明代长城的提取,取得了较满意的效果,并为进一步的长城考古研究和遥感图像信息提取提供了参考。",,,Key Words:Great Wall remote sensing information extraction gray-slope method,Extraction of the Great Wall Information from Remote Sensing Imagery,关键词:古长城 遥感 信息提取 灰度坡度,,遥感影像的古长城信息提取方法研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050113&flag=1
"遥感方法测定水体中叶绿素含量的核心问题是建立遥感数据和叶绿素含量的定量关系;利用太湖梅梁湾附近水体的实测光谱和水质采样实验室分析,从数量上揭示了位于682nm附近和706nm附近对叶绿素含量估测最重要的两个光谱特征,分别通过比值(R706/R682、R706/R572)、微分、面积、峰高、峰谷距离以及反射峰位置等建立与叶绿素浓度的线性或非线性相关回归模型,通过R2、平均误差以及RMS误差等的分析对比,认为比值和反射峰位置对叶绿素浓度有很好的指示作用,是估测太湖梅梁湾附近水体叶绿素浓度的最好方法,其中与反射峰位置的指数关系R2达0.9199,与R706/R682的直接线性关系R2达0.9038。相对于706nm附近的峰谷距离、峰高以及反射峰面积而言,反射峰的位置是指示叶绿素浓度最敏感的变量;572nm附近、682nm附近以及706nm附近等三个波段对探测叶绿素a具有重要作用。",,,Key Words:spectral feature chlorophyll-a taihu lake RS,Chlorophyll-a Concentration Estimation with Field Spectra of Water-body near Meiliang Bayou in Taihu Lake,关键词:光谱特征 叶绿素 太湖 遥感,,应用实测光谱估测太湖梅梁湾附近水体叶绿素浓度,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050112&flag=1
"提出并发展了一套对多源遥感影像(不同传感器、不同分辨率、不同时相的遥感影像)的高精度自动纠正与配准技术与方法。遥感影像首先通过一个多项式模型进行整体粗纠正,然后在待配准影像上提取均匀分布的特征点。以提取的特征点为引导,利用金字塔逐层模板匹配的方法获得配准用同名控制点,基此构建不规则三角网将影像分解为各三角形区域,在每个三角形范围内实现逐三角网的高精度影像纠正与配准。",,,Key Words:multi-source remote sensing imagery image registration image rectification TIN,The Study on Automatic and High-Precision Rectification and Registration of Multi-source Remote Sensing Imagery,关键词:多源遥感影像 图像配准 图像纠正 TIN,,多源遥感影像高精度自动配准的方法研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050111&flag=1
"MODIS的反照率产品采用半经验的二向性反射核驱动模型算法(AMBRALS),对16天累积观测的多角度遥感数据进行反演。产品的应用需要相关研究的地面观测数据进行验证。主要研究基于地面气象台站用反照率表观测的反照率数据、地面和机载多角度遥感数据通过AMBRALS算法反演得到的反照率,与MODIS相应的地面反照率产品做比较的降尺度验证方法,并提供对MODIS反照率产品的初步验证结果。",,,Key Words:albedo multi-angle remote sensing inversion kernel-driven model,Initial Validation of MODIS Albedo Product by Using Field Measurements and Airborne Multiangular Remote Sensing Observations,关键词:反照率 多角度遥感 反演 核驱动模型,,地面和机载多角度观测数据的反照率反演及对MODIS反照率产品的初步验证,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050110&flag=1
Landsat 7采用双向扫描的方式，由于扫描非线性及卫星姿态和轨道的波动，使得建立卫星视线的计算量增大。引入一种求视线的快速方法，将图像上的扭曲分解为标称扫描镜及卫星运动引起的和7个偏离标称运动的微扰量引起的两个部分，详细分析了各个微扰量造成的影响，建立了一个新的视线求解方程。最后用实际的数据验证了方法的速度和精度。,,,Key Words:Landsat 7 geometric calibration line of sight distortion perturbation,Study on Fast Geometric Correction of Landsat 7 Imagery,关键词:Landsat 7 几何校正 视线 扭曲 微扰量,,Landsat 7图像快速几何校正方法研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050109&flag=1
"提出一种新的基于恒虚警率(CFARConstantFalseAlarmRate)技术,确定SAR图像中检测船只整体阈值的方法。该方法采用高斯分布(正态分布)作为SAR图像灰度的概率密度函数,由CFAR技术直接导出用于检测船只整体阈值的计算公式,用记数滤波器滤波去除虚警。该算法避免了复杂公式迭代和求解形状参数计算过程,也避免了用二分法寻找阈值的循环解算过程,提高了检测速度。使用XSAR和ERSSAR图像对该算法进行检验,并与其它算法进行比较,结果显示所提出的算法在检测精度和检测速度上都有明显的改进。",,,Key Words:SAR CFAR ship detection gaussian-distribution,A Novel Method for Ship Detection in SAR Images,关键词:SAR CFAR 船只检测 高斯分布,,一种新的SAR图像船只检测方法,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050108&flag=1
"目标检测是自动目标识别(ATR)的第一个阶段。研究合成孔径雷达(SAR)图像目标检测问题,提出了一种基于Rayleigh分布的CFAR快速检测算法,将CFAR检测分成水平和垂直CFAR检测两步进行。利用相邻点参考窗口的重合及图像的分布特性,提高了参数估计的效率。算法同时利用目标方差特性以减少虚警率。对MSTAR数据进行实验,结果表明该算法具有较好的性能。",,,Key Words:SAR imagery automatic target recognition target detection CFAR detection local variance,A Fast Target Detection Algorithm for High Resolution SAR Imagery,关键词:SAR图像 自动目标识别 目标检测 CFAR检测 局部方差,,一种高分辨率SAR图像快速目标检测算法,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050107&flag=1
"针对神舟四号飞船微波辐射计(RAD)特殊入射角、频率的特点,开发了海面和大气参数的反演算法。然后用这个算法模拟RAD不同通道的亮温。最后用发射后重新定标的亮温结合国外大洋浮标、小岛上的气象探空数据以及其他星载微波辐射计产品,对RAD反演算法进行改进,最后给出海面温度、风速和大气水汽含量的反演的结果,并且对这些结果进行了检验。",,,Key Words:microwave radiometer geophysical parameter retrieval validation,Calibration and Validation of Microwave Radiometer (RAD) on-aboard SZ-4Spacecraft\n(Ⅱ):Retrivals of Geophysical Parameters from RAD Brighness\nTemperatures and Their Validations,关键词:神舟四号飞船 微波辐射计 地物参数反演,,神舟四号飞船微波辐射计定标和检验（Ⅱ）——微波辐射计地物参数反演及其检验,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050106&flag=1
1998年以来中国在生态环境脆弱区实施了一系列生态建设工程，为了评估工程的效益，监测工程实施地区的生态环境变化趋势，在生态脆弱区选择了具有代表意义的5个典型区，采用遥感与地理信息系统技术结合的方法，对这些地区在1997-2002年5年内的生态环境变化进行了动态监测。监测结果表明，这5年来，退耕还林还草、天然林保护、防护林建设和小流域治理等生态环境建设工程已经取得较大进展，各治理区的环境正在逐渐改善。,,,Key Words:RS GIS eco-environment dynamic monitoring,Environment Monitoring over 1997-2002 with Remote Sensing in 5 National Environmental Project Sites,关键词:遥感 地理信息系统 生态环境 动态监测,,生态环境典型治理区5年期遥感动态监测,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050105&flag=1
"人们普遍认为,SAR点目标响应是sinc函数形状,但是,在通常条件下,SAR点目标看上去不象sinc函数形状。文章从驻留相位原理的近似性,数字信号处理和连续信号处理的差别,人类视觉,检波造成的频谱扩展,SAR的斜视等方面,指出其原因,并阐述了使点目标形状象sinc函数形状需要满足的条件。并提出SAR图像从复数图到模值图的转化过程需要满足的条件和处理。",,,Key Words:Synthetic Aperture Radar(SAR) point target low pass filter(LPF) interpolation,The Shape of SAR Point Target Response,关键词:合成孔径雷达 点目标 低通滤波器 内插,,SAR点目标的响应形状,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050104&flag=1
"以玉米整个生长期野外热红外辐射观测数据为基础,对两种组分亮温分类方法作了比较,并对玉米地组分亮温的变化特征展开了分析。结果表明,农田亮温组分的数目和数值随测量时间和日期改变。在整个测量期间,在当地时间中午前后,农田呈现出3个亮温组分植被、被阳光照到的亮土和植被阴影下的暗土。观测早期,植被亮温分布相对集中;随着农田植被覆盖率的增高,植被亮温分布逐步分散,组分间温差缩小,部分亮温值相互重叠。产生这些现象的原因将在以后的研究中加以探讨。",,,Key Words:maize canopy classification component brightness temperature,Study on the Classification of Component Brightness Temperature Over a Maize Canopy,关键词:玉米地 组分亮温 分类,,玉米地组分亮度温度分类变化研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050103&flag=1
"在近红外辐射传输方程的基础上,利用近红外波段水汽的不同吸收属性,在MODTRAN的模拟下,深入分析了基于MODIS近红外数据的可降水汽反演算法,并着重讨论了地物反射光谱非线性在可降水汽反演中的影响。研究结果显示,当波段间反射率之比不等于1时,MODIS近红外波段反演水汽将存在较大偏差。同时,在地物光谱库基础上,计算了不同地物反射率比值,其分布表明,大部分地物波段反射率比值不等于1。研究表明,应用现有MODIS近红外波段水汽反演算法,如果不考虑地表反射率光谱变化的影响,由地表反射光谱造成的误差最大约为反射率比值与1偏差的15倍,同时,这一误差还与大气波段透过率之比有关。",,,Key Words:near infrared water vapor retrieval radiative transfer MODIS MODTRAN,The Simulation Analyze of the Effect of Surface Reflective Spectrum on the Retrieval of Water Vapor with MODIS NIR Data,关键词:近红外 水汽反演 辐射传输 MODTRAN MODIS,,地物反射光谱对MODIS近红外波段水汽反演影响的模拟分析,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050102&flag=1
"运用连续统去除法和波深归一化方法对构成植物叶片碳氮比的基本因素——总碳和总氮浓度进行深入研究,对其组成物质的浓度差异在2030—2220nm区间内光谱响应的物理机制进行深入分析。在对多组典型叶片的对比分析后发现,经连续统去除后的相对反射率光谱中可以明显观察到碳、氮浓度差异造成的影响,而其影响与纤维素、木质素和蛋白质在此范围的吸收特征密切相关。其中,以纤维素和木质素为代表的碳浓度的影响主要体现在2030—2050nm区间,而以蛋白质为代表的氮浓度的影响则体现在2054nm和2172nm附近存在的斜率突变上。另外利用波深归一化方法再次证明了氮浓度对2054nm和2172nm处光谱特征的影响,进一步证实蛋白质双峰特征在光谱上的响应,并通过相关分析和回归分析验证了相对反射率光谱与碳氮比之间的定量关系。",,,Key Words:biochemical concentration hyperspectral remote sensing C:N ratio continuum removal band-depth norma-lization,Research on the Effects of Leaf Biochemical Concentrations on Leaf Spectra:Case Study of Inversion of C:N Ratio Based on the Absorption Features Centered at 2100nm,关键词:生化组分 高光谱遥感 碳氮比 连续统去除 波深归一化,,叶片生化组分浓度对单叶光谱影响研究——以2100nm吸收特征的碳氮比反演为例,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050101&flag=1
"利用灾后苏门答腊岛DMC32米多光谱遥感图像,经过几何精校正、主要地名标注、波段B2(R)、B1(G)、B3(B)组合和直方图正态增强处理制作了影像图,图像总体纹理信息较弱,但对海啸受灾区有突出作用。为了突出不同区域植被的色差和纹理信息,对影像图进行比值增强组合处理实验,比值增强处理后的图像对空间纹理有增强效果。依据DMC增强图像显示的纹理影像特征,通过人机交互方式对图像中有较明显规律的线状和环状纹理信息进行提取和制图,作为进一步分析该地区构造活动及与之相关地质灾害的基础依据。通过对图像的纹理信息综合分析,发现该地区存在着大量的线形纹理信息和一些环形和火山机构影像信息,这些影像特征可能与该地区的一些地质活动有关,如新构造运动、活动断裂和火山活动中心、火山机构等。结合已知的地质、遥感三维立体图像和早期的TM图像资料,根据遥感图像上显示的特殊的地形和水系、线性纹理分布特征和典型地质体与断裂构造的遥感解译标志,对部分线性影像和环状影像的地质意义进行了解译,认为北西断裂为岛内的主干断裂,其次是与其相垂直配套的北东向断裂。初步分析了可能控制或诱发该地区地质灾害的断裂分布特征,推断出三处泥石流、崩塌、滑坡等地质灾易发区和两处火山活动可能区域。所推断的地质灾害易发区具备了泥石流、崩塌、滑坡等灾害形成、流通、堆积等先决条件,如果植被遭到破坏,一旦遇到强降雨影响,极有可能诱发上述地质灾害。火山活动区均处于北东向断裂带与北西向断裂带的交汇部位,根据地质构造和遥感影像特征分析推断,区内地震及火山活动有可能受板块活动地震影响而再次激活,形成新的地质灾害。以上遥感地质信息,在进一步经过相关资料和实地调查证实后,对岛内灾后重建及减灾、抗灾等活动具有积极指导意义。",,,"Key Words:DMC Small Satellite,linear information extraction,fault,volcanic,geologic disaster,",The Analysis of DMC Multi-spectral Data for Sumatra Geological Application,"关键词:DMC小卫星图像,线性信息提取,断裂,火山活动,地质灾害",,苏门答腊岛DMC多光谱数据地质应用初步分析,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050474&flag=1
"2004年12月底印尼苏门答腊岛西北海岸发生里氏9.0级地震,引发印度洋沿岸的印尼、斯里兰卡、泰国、印度等国家先后遭受强烈海啸。印度尼西亚亚齐省是遭受海啸灾害最严重的地区之一。为了评估海啸灾害造成的严重影响,应用遥感和地理信息系统技术,以2005-01-07英国DMC小卫星遥感影像为基础数据源,结合收集到的该地区灾前(2001年)LandsatETM 遥感影像,对亚齐省进行了监测和快速评估。监测结果表明距离震中位置较近的亚齐省苏门答腊岛西海岸遭受影响较严重,亚齐省苏门答腊岛西海岸由于距离震中位置较近遭受严重影响,而苏门答腊岛东海岸则影响较轻,受灾最严重的地区是亚齐省首府班达亚齐市附近。经统计,整个亚齐省遭受海啸严重影响的地区面积约为483km2,其中城市建成区受淹面积约为26·2km2,乡村(镇)地区受淹面积约为430·5km2。文章的最后还结合数字高程模型对海啸灾情的结果进行了分析。结果表明,绝大多数因海啸而受淹地区高程低于20m。",,,"Key Words:Indian Ocean Tsunami,Aceh Province,DMC,remote sensing,","Monitoring and Analysis of 2004 Indian Ocean Tsunami Disaster in Aceh Province, Indonesia Based on Remote Sensing","关键词:印度洋海啸,亚齐省,DMC,遥感",,2004年印度洋海啸印尼亚齐省灾情遥感监测与分析,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050473&flag=1
"利用DMC卫星影像,对在2004年12月26日发生的印度洋海啸中,受灾严重的印度尼西亚亚齐特别自治区进行土地覆盖类型变化比较分析,对灾情进行评估,研究表明DMC卫星影像在灾情分析及土地覆盖类型监测等方面的应用前景。",,,"Key Words:DMC,land cover,image interpretation,",Investigation on Land Cover Change after Tsunami: Based on DMC Images,"关键词:DMC(Disaster Monitoring Constellation),土地覆盖,图像解译",,基于DMC卫星影像对海啸灾情土地覆盖类型变化的分析,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050472&flag=1
"介绍了运用新一代中分辨率小卫星数据———英国灾害监测小卫星(DMC,DisasterMonitoringConstellation)数据源,以印度尼西亚亚齐省为例,采用遥感数据作为信息源,对2004-12-26印尼苏门答腊岛西北海域发生的里氏9·0级的强烈地震所引发的印度洋海啸灾害进行了监测评估。所获得的小卫星图像预处理后,通过对图像中受损失地物的光谱信息分析、受损失信息与环境背景信息的对比分析,进而建立其判读标志;并在此基础上进行损失程度分级判读、统计分析等,实现了从小卫星图像上对海啸灾情损失的遥感快速监测评估。其监测评估结果为中国开展国际援助提供了客观依据,其技术方法为海啸灾害及其它灾害的遥感快速监测评价提供了技术思路,也为中国即将发射运行的灾害和环境监测预报小卫星星座及中国DMC小卫星的应用提供必要的经验及技术支持。",,,"Key Words:monitoring,assessment,Indian Ocean Tsunami,disaster,remote sensing",Monitoring and Assessment for the Tsunami Disaster of Indian Ocean by Remote Sensing: A Case Study in Aceh Province of Indonesia,"关键词:监测,评估,印度洋海啸,灾害,遥感",,印度洋海啸灾害遥感监测与评估——以印度尼西亚亚齐省为例,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050471&flag=1
"图像空间分辨率是图像质量评价的一项关键性指标,也是图像应用中举足轻重的一个参数。由于图像的成像方式不同,同一幅图不同方向的空间分辨率是变化的。由于影响图像空间分辨率的因素非常复杂,所以迄今为止尚无统一、有效的定量评价图像空间分辨率的理论和方法。该文基于熵理论和图像信息的特点,提出了变率信息熵的概念和算法,并进行了相关的特性分析。经过对模拟生成的条形码靶标图像和2004年印尼海啸地区的DMC等卫星遥感图像的处理和实验,验证了此方法可以客观、定量地评价一幅图像在水平和竖直方向的空间分辨率,实验结果证明了算法的有效性。",,,"Key Words:varied information entropy,images,spatial resolution,quality evaluation,",The Theory to Evaluate the Image Spatial Resolution Quantitatively,"关键词:海啸,变率信息熵,图像,空间分辨率,质量评价",,海啸地区遥感图像空间分辨率定量评价研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050470&flag=1
"DMC遥感小卫星1G级数据产品虽然经过了波段配准、辐射校正和系统几何校正处理,但尚不能作为海啸灾害解译和评估的基础图像。为了满足图像解译和目标几何量测的要求,研究DMC小卫星数据产品中噪声、拼接缝以及色调不均匀去除的方法,以提高DMC小卫星图像质量。通过对其形成原因和特性进行分析,提出了消除噪声、拼接缝和几何精校正,以及制作色调一致的真彩色三维影像图的技术方法,并给出了具体示例。",,,"Key Words:DMC remotely sensed data,destriping,geometric precise correction,3D image map,",Analysis on DMC Remotely Sensed Mini-Satellite Data Pre-processing Method,"关键词:DMC遥感数据,条带去除,几何精校正,三维影像图",,DMC遥感小卫星数据预处理方法分析,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050469&flag=1
"复原退化模糊图像是遥感图像处理的研究重点。对成像系统的调制传递函数(MTF)进行了研究,分析了调制传递函数的基本理论。讨论了一种近似测定成像系统调制传递函数的方法,通过有限采样,曲线拟合,傅立叶变换,规格化的一系列处理得到图像获取、传输过程中的点扩展函数(PSF)。提取完整光滑的调制传递函数曲线,在频域中对图像进行去卷积复原,分析和评价了复原结果。将该方法应用于DMC卫星图像,图像质量得到明显提高,收到较好的复原效果。",,,"Key Words:modulation transfer function,point spread function,disaster monitoring constellation(DMC) satellite,image restoration,",DMC Satellite Image MTF Analysis and Restoration Method Research,"关键词:调制传递函数,点扩展函数,DMC卫星,图像复原",,DMC卫星图像MTF分析及其复原方法研究,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050468&flag=1
"针对国际灾害监测星座应用技术和中国各种自然灾害的现状,着重研究了DMC(DisasterMonitoringConstellation)星座应用技术和DMC 4小卫星的数据特点,研究了利用小卫星星座对防灾、抗灾救灾的突出作用,研究了小卫星地面系统集成技术和星地一体化运营、管理和控制体系,以便进一步推动国内小卫星技术、遥感应用技术、卫星星座技术、天地一体化运管控技术和机制创新的发展。促进中国灾害监测星座的研制,最终实现对各种自然灾害的实时、动态监测。",,,"Key Words:disaster monitoring constellation(DMC),DMC 4 micro-satellite,style of operation-management-control,",DMC+4 Micro-satellite Application and Reseach in International Disaster Monitoring,"关键词:灾害监测星座,DMC 4小卫星,运管控方式",,DMC＋4小卫星在国际灾害监测中的应用与评价,http://www.jors.cn/jrs/ch/reader/view_abstract.aspx?file_no=20050467&flag=1
