abstract,authors,en_abstract,en_keywords,en_title,keywords,pdf_url,title,url
"摘要:综述了近10多年来大地测量和地震数据联合反演地震震源破裂过程的研究成果及最新进展,特别是大地测量和地震数据联合反演地震震源破裂过程的模型、算法及典型震例。展望了利用GPSI、nSAR和地震波数据联合反演震源破裂过程中顾及先验信息、附有不等式约束时反演模型的建立方法,以及相对权比的确定、全局优化方法的应用等问题。",Keywords:seismicsourceruptureprocess/InSAR/GPS/seismologicaldata/jointinversion,"Abstract:Theachievementandnewprogressinjointinversionofgeodeticandseismologicaldataforseismicsourceruptureprocessintherecentdecadearesummarizedinthispaper.Themodels,algorithmsandtypicalearthquakecasesinjointinversionofgeodeticandseismologicaldataforseismicsourceruptureprocessarediscussed.TheestablishmentofjointinversionmodelwithGPS,InSARandseismologicaldataconsideringpriorinformationandwithinequalityconstraintsisdiscussed.Thefunctionsofvariousdata,determinationofrelativeweightratioandapplicationofglobaloptimizationalgorithmareemphaticallydiscussed.",,ProgressofJointInversionofGeodeticandSeismologicalDataforSeismicSourceRuptureProcess,关键词:震源破裂过程/InSAR/GPS/地震波数据/联合反演,,大地测量和地震数据联合反演地震震源破裂过程研究进展,http://ch.whu.edu.cn:80/article/id/917
"摘要:用比例尺1∶1万的道路数据缩编更新比例尺1∶5万的相应数据,需要建立不同尺度、不同时态的道路目标间的匹配关系,以提取变化数据进行更新。通过分析道路目标间存在的分解、基本以及抽象的三个匹配层次,利用缓冲区分析和拓扑关系等手段开发了系列算法,进而完成了各目标间的匹配。实验表明,该匹配方法正确率高,实用性强,能满足缩编更新道路数据的要求。",Keywords:updatingbasedonmapgeneralization/roaddata/levelsofmatching/routematching/nodematching,"Abstract:ItisoneoftheimportantwaysforGISdataupdatingbasedonmapgeneralization.Thecriticalfirststepinthiswayistoidentifythecorrespondencesbetweenmapswiththesameareaandtodetecttheupdates.Matchingroadsforthispurposeisstudiedinthispaper.Formatchingofobjectsbetweenroads,threematchinglevels,i.e.thedecomposedlevel,basiclevelandabstractedlevelarediscovered.Basedontheorderrelationshipofthisthreematchinglevels,matchingofobjectsareaccomplishedbyasetofalgorithmsdeveloped.Theresultsoftheexperimentformatchingroadsatscale1∶10000and1∶50000showthatthismethodcanobtainhighercorrectrateandmeetrequirementofupdating.",,MatchingofRoadsunderDifferentScalesforUpdatingMapData,关键词:缩编更新/道路数据/匹配层次/路径匹配/结点匹配,,地图数据缩编更新中道路数据匹配方法,http://ch.whu.edu.cn:80/article/id/912
"摘要:提出了一种以震后单一时相高空间分辨率光学遥感影像为基础,融合纹理特征和形态特征的地震倒塌房屋自动提取方法,研究了不同尺度纹理特征和形态特征在倒塌房屋提取中的作用和表现。以5.12汶川地震作为研究实例,结果表明,本方法能够有效提取地震倒塌房屋。倒塌房屋产品精度和用户精度分别为86.65%和86.35%,Kappa系数为0.7906。",Keywords:highspatialresolution/texturalfeature/morphologicalfeature/featureselection,"Abstract:Extractingdamagedbuildingsaccuratelyandquicklythroughremotesensinghasanimportantmeaningtodamageevaluationandreliefafterearthquake.Amethod,whichbasedonlyonhighspatialresolutionopticalremotelysensedimageacquiredafterearthquakeandfusedtexturalfeaturesandmorphologicalfeatures,wasproposedtoextractdamagedbuildingsautomatically.Besides,theuseandbehavingofdifferentscalestexturalfeaturesandmorphologicalfeaturesindamagedbuildingsextractionwereinvestigated.Astudycase,WenchuanEarthquake,wasstudied.Experimentresultsshowedthatthismethodcouldextractdamagedbuildingseffectivelyandreachagoodresultthattheproductaccuracyandtheuseraccuracyofdamagedbuildings,andKappacoefficientwere86.65%,86.35%and0.7906respectively.",,ExtractingDamagedBuildingsInformationAutomaticallyBasedonTexturalandMorphologicalFeatures,关键词:高空间分辨率/纹理特征/形态特征/特征选择,,利用融合纹理与形态特征进行地震倒塌房屋信息自动提取,http://ch.whu.edu.cn:80/article/id/901
"摘要:依据VCF电子海图,提出了一种对水下机器人进行路径规划的多目标遗传算法,采用可变长的实数坐标编码、适应度函数评价了影响航路优劣的多个因素,设计了选择、交叉、变异、修补、删除等遗传算子以及种群置换方法。在生成初始种群和设计遗传算子时引入领域知识,使所生成路径尽量不穿越障碍区域,有效地提高了大范围路径规划算法的收敛速度。试验表明,采用该MOGA算法进行路径规划可提高算法的收敛速度和全局寻优能力。",Keywords:multi-objectivegeneticalgorithm/pathplanning/VCF/fitnessfunction,"Abstract:Amulti-objectivegeneticalgorithmforAUVpathplanningbasedonVectorChartFormatelectronicchartsispresentedinthispaper.Inthismethod,real-codeofvariablelengthisadopted,severalfactorsconcernedwithpathqualityareevaluatedthroughfitnessfunctions,andgeneticoperatorssuchasselection,crossover,mutation,repair,deletion,togetherwithpopulationreplacementmethodareproposed.Domainknowledgeisintroducedduringtheinitialpopulationformationandgeneticoperatordesign,inorderthattheproducedpathintersectsobstructionareaaslessaspossible,thereforethealgorithmconvergesmorequicklyinthecaseoflarge-scalepathplanning.Experimentsshowthatthismulti-objectivegeneticalgorithmcaneffectivelyimprovealgorithmconvergencerateandglobaloptimizationability.",,PathPlanningBasedonMulti-ObjectiveGeneticAlgorithmforAUVonVCFElectronicChart,关键词:多目标遗传算法/路径规划/VCF/适应度函数,,多目标遗传算法在水下机器人路径规划中的应用,http://ch.whu.edu.cn:80/article/id/911
"摘要:借鉴了现阶段二维垄行作物的组分权重确定方法并将其推广到三维城市地表,加上已有的针对城市地表的方法,得到了辐射度方法、水平面投影法、球面投影法和中心投影实验法4种方法。结果表明,当天顶角较小时,辐射度方法、球面投影法、中心投影实验法(通过数码像片勾绘统计计算得到组分权重)和水平面投影法都能较为精确地模拟方向亮温的空间分布。",Keywords:thermalinfraredremotesensing/components'proportion/directionalbrightnesstemperature/urbansurface/radiositymodel,"Abstract:Directionalbrightnesstemperature(DBT)playsanimportantroleinsurfaceenergybalanceandurbanclimate.Determinationofcomponents'proportionisoneofthekeyfactorstoaccuratesimulationofDBT.Anoverviewofthemaincomponents'proportiondeterminationmethodsusedcurrentlyonurbansurfaceswasunfoldedandsometechniquesutilizedinrowcropswereexpandedtoadaptthree-dimensionalurbantargets,achievingradiositymethod,horizontalprojectionmethod,obliqueprojectionmethodandcenterprojectionmethod.Comparisonbetweenthoseabove-mentionedfourcomponents'proportiondeterminationmethodsdemonstratethattheysimulatethespatialdistributionofDBTperfectlywhenthezenithangleissmall.Theresultalsoshowsthatitisfeasibletocomputethecomponents'proportionthroughsketchingandcalculatingonthephotographfilmedbyadigitalcameralocatednearthethermalinfraredsensor(centerprojectionmethod).However,thehorizontalprojectionmethodisanexception,whichhasalowprecisioncorrespondingtoDBTwhenthezenithangleincreasedordifferencesbetweencomponents'temperatureextendedtoahigherlevel.Finally,acomparativestudywasconductedonsimulationaccuraciesandcomplexitiesofdifferentmethodsandsomespecificrecommendationsweregivenfordiverseneeds.",,ImpactsofDifferentComponents'ProportionDeterminationMethodsonDirectionalBrightnessTemperatureSimulationforUrbanTargets,关键词:热红外遥感/组分权重/方向亮温/城市地表/辐射度,,组分权重方法对城市目标方向亮温模拟的影响,http://ch.whu.edu.cn:80/article/id/896
"摘要:提出一种基于机载激光雷达点云数据提取水体轮廓线的方法。采用双层格网模式提取较窄的水体;以朝向水体的边界点作为拟合轮廓线的关键点提取更精确的轮廓线。实验表明,该方法可以较好地提取水体轮廓线。",Keywords:LiDARpointsclouds/waterbody/contourlines/seedfilling/connecteddomain,"Abstract:Acontourlinesextractionmethodfor3DwaterbodyfromLiDARpointcloudsdataisproposedinthispaper.First,allpointsaredividedintoroughandequidistantgridswhosenumber,averageelevationandheightstandarddeviationofeverygridpointswillbecalculatedlater.Then,confirmthegridsbelongedtospecificwaterareaswithstrictconditionsaccordingtofourcharactersofthepointcloudsinthewaters:thelowdensity,thesimilarityofelevationinallpoints,theweakechointensity,watersurfaceislowerthanthesurroundingland.Next,excludesparseanddiscreteblocksthroughtheconnecteddomainbythecharacteroflargerwaterareas.Finally,re-organizepointcloudsdatabyfine-grid.Extractwaterareaswiththeseedfillingmethodundermorerelaxedconditionsstartingfromthegridsbelongedtothespecificwaterareas.Experimentsindicatethatthismethodisfeasible.",,AMethodforExtractingWaterContourLinesfromLiDARPointCloudsData,关键词:LiDAR点云/水体/轮廓线/种子填充/连通域,,基于LiDAR点云数据的水体轮廓线提取方法研究,http://ch.whu.edu.cn:80/article/id/910
"摘要:针对近景摄影测量中影像与地面坐标系间存在大旋转角的问题,在分析现有绝对定向算法的基础上,提出了一种适合大旋转角影像的绝对定向方法,采用奇异矩阵分解获取较准确的角元素初值,并结合最小二乘平差进行粗差剔除和绝对定向精确参数解算。试验表明,本算法计算简单、收敛速度快,具有很好的实用价值。",Keywords:absoluteorientation/largerotationangle/singularvaluedecomposition/datasnooping,"Abstract:AbsoluteorientationisoneofthefundamentalissuesinPhotogrammetryandRemoteSensing.Itisalsoanimportanttopicincomputervisionandthree-dimensionalreconstruction.Toovercometheproblemoflargerotationanglesbetweenmodelcoordinatesofimagesandthecorrespondingworldcoordinatesincloserangeapplications,anewmethodofabsoluteorientationwhichissuitableforlargeobliqueangleimageisproposed.Singularvaluedecompositionofrotationmatrixisusedtoobtainaccurateinitialvaluesoftheangularelements.Leastsquaresadjustmentwithgrosserrordetectionisalsoperformedtoachievepreciseresultsofabsoluteorientation.Experimentalresultsshowthattheproposedalgorithmiseffectiveandhaswellpotentialinvariousabsoluteorientationapplications.",,AbsoluteOrientationofLargeRotationAngleImages,关键词:绝对定向/大旋角/奇异值分解/数据探测法,,大旋角影像的绝对定向方法研究,http://ch.whu.edu.cn:80/article/id/900
"摘要:在参考现有地物分类标准和CityGML要素类型基础上,探讨遥感专题模型的设计方法,分析基于CityGML的几何拓扑、语义属性信息表达机制,并以一小区域数据验证了方法的可行性。",Keywords:citygeographymarkuplanguage/applicationdomainextension/levelofdetail/remotesensinginformationsharing,"Abstract:BasedonthereferencesofexistingstandardofgroundobjectclassificationandCityGMLfeatureclasses,thepaperstudieddesignmethodofRSthematicmodel,analysedrepresentationmechanismofgeometric-topologyandsemanticattributeinformationbasedonCityGML,themetholdwasvalidatedthroughdataofasmallregion.",,TheApplicationofCityGMLinRSInformationSharing,关键词:CityGML/ADE/LOD/遥感信息共享,,基于CityGML的遥感信息共享研究,http://ch.whu.edu.cn:80/article/id/899
"摘要:三维地质建模方法是地学三维模拟与可视化系统的核心和难点。基于BSP树的矢量剪切的原理及算法,提出了利用矢量剪切技术快速构建复杂的地质体开挖模型,可视化表达地质体内部信息的方法,并以地质开挖工程及三维地层分析为例,验证了算法的高效性和实用性。",Keywords:vectorshear/solidmodel/3Dgeologicalmodeling/BSPtree/geologyanalysis,"Abstract:3Dgeologicalmodelingisthekeyto3Dgeologicalsimulationandvisualizationsoftwaresystem.ThispaperstudiesthetheoryandalgorithmofBSPtree-basedVectorShear,andraisesamethodwhichusesVectorsheartoquicklybuildcomplexgeologicalmodelingandvisuallydisplaystheinnerinformationofgeologicalbodies.Intheend,ittakestheexampleofgeologicaldigitalengineeringand3Dstratumanalysis,anddrawsaconclusionthatthealgorithmisefficientandpractical.",,ApplicationofVectorShearTechnologyin3DGeologicalModeling,关键词:矢量剪切/实体模型/三维建模/BSP树/地质分析,,矢量剪切技术在地质三维建模中的应用,http://ch.whu.edu.cn:80/article/id/898
"摘要:提出了街道渐进式选取的信息传输模型,该模型包含两个关键部分,代表街道网信息的信源和代表如何选取的信道。定义了街道网几何信息与拓扑信息的新的度量方法,根据匹配思想建立了信道,并对信道的地图综合意义进行了解释。",Keywords:Shannon'sinformationtheory/progressiveselectionofstreets/averagemutualinformation/informationsource/informationchannel,"Abstract:Thispaperproposesaninformationtheorymodelforprogressiveselectionofstreets.Thismodelhastwokeycomponents:①informationsourceswhichrepresentstheinformationofthestreetnetwork.②channelswhichrepresentshowtoselectthestreets.Asetofnewquantitativemeasuresisproposedforgeometricinformationandtopologicalinformationofstreetnetwork.Thegeometricinformationconsidersthevariationoflengthproportionoccupiedbythestreets.Thetopologicalinformationconsidersvariationoftheconnectionrelationofthestreetsinthestreetnetwork.Channelsforcommunicationarebuiltaccordingtotheideaofmatching.Thetransitionprobabilityisthekeyissue.Forgeometricinformationchannel,eliminatedstreetmatchestoalltheremainingstreets.Thetransitionprobabilitycanbecalculatedformthejointprobabilityeasily.Fortopologicalinformationchannel,theconnectionrelationmatchestotheconnectionrelationstillremainedandtotheconnectionrelationdisappearedafterastreetwaseliminated.Thenon-connectedrelationmatchestothenon-connectedrelationbeforeastreetwaseliminated.Themapgeneralizationmeaningofthechannelsisexplained.Theexperimentalresultshowsthattheeliminatedstreetsarethoseofshorterandwithlowerdegree.",,CommunicativeModelforStreetsProgressiveSelection,关键词:香农信息论/街道渐进式选取/平均互信息/信源/信道,,街道渐进式选取的信息传输模型,http://ch.whu.edu.cn:80/article/id/895
"摘要:针对三维地形图中某些地貌符号难以建模的问题,以陡崖符号为例,提出了一种基于不规则三角网自动提取陡崖边缘线的方法,根据不同光照条件下的视觉感受规律,建立了陡崖符号的光照模型,并对其数学表达进行了研究,介绍了陡崖符号的自动建模流程,有助于其他类似地貌符号模型的自动建立。",Keywords:Cliff/automaticmodeling/3Dtopographicmap/3Dmapsymbol/TIN/DTM,"Abstract:Inviewofsomereliefsymbolsaredifficulttobuildthemodelingin3Dtopographicmap,wetakecliffsymbolastheexampletoproposeamethodtoexacttheedgelinesofcliffbasedonTIN,setupanilluminationmodelofcliffsymbolaccordingtothevisualsensationrulesunderthedifferentilluminationconditionsandresearchthemathematicalexpressionofit,andintroducetheautomaticmodelingflowsofcliffsymbol.Theexperimentprovesthatitisfeasible.Thestudywillbehelpfultobuildthemodelingofothersimilarreliefsymbolsautomatically.",,AutomaticModelingof3DCliffSymbol,关键词:陡崖/自动建模/三维地形图/三维地图符号/TIN/数字地形模型,,三维陡崖符号的自动建模研究,http://ch.whu.edu.cn:80/article/id/916
